TITLE: Bill of Materials
BOM NO: 05-066247-01-c.csv
DATE: 04/28/2023
DESIGN: 02_066247c_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_066247c\worklib\02_066247c_top\bom\bom.log.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
33,1,E031349,LED RED WATER CLEAR LENS," LTST-C191KRKT",LED0603,N/A,2V,3/40W,DS2,LITE-ON TECHNOLOGY," LTST-C191KRKT",REL,N/A,N/A,N/A,N/A,N/A,?,?
34,2,E033001,"LED GREEN 574NM 35MCS, WATER CLEAR LENS"," LTST-C191KGKT",LED0603_A,N/A,2V,3/40W,"DS3,DS4",LITE-ON TECHNOLOGY," LTST-C191KGKT",REL,N/A,N/A,N/A,N/A,7003950,?,?
35,1,E013538,IND MULTILAYER FERRITE BD," 600OHM",L0805H50,25,N/A,N/A,E1,WURTH ELEKTRONIK GROUP," 7427920415",REL,N/A,N/A,N/A,N/A,7005300,?,?
36,1,E035023,"IND MULTILAYER CHIP FERRITE BEAD, 0.05OHM DCR, 2A"," 120OHM AT 100MEGHZ",L0603,25,N/A,2W,E2,MURATA," BLM18PG121SN1D",REL,N/A,N/A,N/A,N/A,N/A,?,?
37,5,E049020,CONN-PCB SMA END LAUNCH JACK FLAT TAB FLANGE FOR 1.62MM PCB," 60312202114513",CNSMARAL559W250H131,N/A,N/A,N/A,"EXT_LO,LO_OUT,OUT1,OUT2,TX_IN",WURTH ELEKTRONIK," 60312202114513",REL,N/A,N/A,N/A,N/A,N/A,?,?
38,3,E049058,FLTR CER LOW PASS 2500MHZ 1.2DB 50OHM," 2500MEGHZ",FLSML79W49H37,N/A,N/A,N/A,"FL1,FL5,FL7",MINI CIRCUITS LABS," LFCG-2500+",REL,N/A,N/A,N/A,N/A,N/A,?,?
39,3,E026305,"FILTER CER LOW PASS, 50OHM"," 10.6GHZ",FL0603_A,N/A,N/A,N/A,"FL2,FL4,FL6",MINI CIRCUITS LABS," LFCW-1062+",REL,N/A,N/A,N/A,N/A,N/A,?,?
40,1,E047829,FILTER CER BANDPASS 9700-11950MEGHZ," 9700-11950MEGHZ",FLSML126W63H41,N/A,N/A,N/A,FL3,MINI CIRCUITS LABS," BFCN-1052+",REL,N/A,N/A,N/A,N/A,N/A,?,?
42,1,E027698,"IND POWER CHIP COIL, 0.25A 0.923OHM DCR"," 22UH",L1210H67,10,N/A,N/A,L1,MURATA," LQH32CN220K53L",REL,N/A,N/A,N/A,N/A,N/A,?,?
43,1,E016651,IND SHIELDED POWER," 2.2uH",LSMSQ157H83,20,N/A,N/A,L4,COILCRAFT," XFL4020-222MEB",REL,N/A,N/A,N/A,N/A,7005021,?,?
44,1,E000737,CONN-PCB BERG HDR ST MALE 14P," TSW-107-08-G-D",CNBERG2X7H330LD36,N/A,N/A,N/A,P1,SAMTEC," TSW-107-08-G-D",REL,A012-0003-045,N/A,N/A,N/A,6002430,?,?
46,6,E054569,CONN-PCB EMI GASKET SHIELDING CABINET STEEL 6.5X0.8MM," 36900000",CNWURTH36900000,N/A,N/A,N/A,"P4,P5,P7,P12,P13,P19",WURTH ELEKTRONIK," 36900000",REL,N/A,N/A,N/A,N/A,N/A,?,?
47,1,E043638,CONN-PCB USB 3.1 TYPE C RECEPTACLE HORIZONTAL," 632723300011",CNWURTH632723300011,N/A,N/A,N/A,P16,WURTH ELEKTRONIK," 632723300011",REL,N/A,N/A,N/A,N/A,N/A,?,?
49,1,E021833,"CONN-PCB HDR FEMALE DUAL ROW, 2.54MM PITCH"," NPTC202KFMS-RC",CNHDR2X20H305,N/A,N/A,N/A,P2,SULLINS," NPTC202KFMS-RC",REL,N/A,N/A,N/A,N/A,N/A,?,?
51,1,E017878,CONN-PCB HDR 2.54MM PITCH SIL VERT PC TAIL (TIN)," M20-9990346",CNHDR1X3H340,N/A,N/A,N/A,P6,HARWIN," M20-9990346",REL,N/A,N/A,N/A,N/A,6002139,?,?
53,44,E003671,RES SMD 10K Ohm 1% 1/10W 0603 AEC-Q200," 10K",R0603,1,N/A,1/10W,"R9,R10,R17,R19,R23,R24,R26,R30,R31,R32,R34,R38,R40,R43,R56,R61,R66,R69,R71,R72,R73,R75,R76,R77,R78,R80,R83,R85,R91,R97,R102,R124,R125,R126,R127,R128,R129,R130,R131,R132,R138,R148,R156,R190",PANASONIC," ERJ-3EKF1002V",REL,A003-0032-006,N/A,FEC 911-355,1517_CAB3,7000401,?,?
55,1,E011039,RES SMD 25.5K Ohm 1% 1/10W 0603 AEC-Q200," 25.5K",R0603,1,N/A,1/10W,R101,PANASONIC," ERJ-3EKF2552V",REL,N/A,N/A,N/A,N/A,N/A,?,?
56,1,E014667,RES SMD 2.2K Ohm 1% 1/10W 0603 AEC-Q200," 2.2K",R0603,1,N/A,1/10W,R11,PANASONIC," ERJ-3EKF2201V",REL,N/A,N/A,N/A,N/A,N/A,?,?
57,12,E006826,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200," 0",R0603,JUMPER,N/A,1/10W,"R2,R5,R6,R8,R14,R16,R27,R86,R94,R99,R111,R160",PANASONIC," ERJ-3GEY0R00V",REL,A003-0038-001,N/A,N/A,N/A,7008623,?,?
58,2,E020665,RES SMD 47K Ohm 1% 1/20W 0201," 47K",R0201,1,N/A,1/20W,"R114,R115",PANASONIC," ERJ-1GNF4702C",REL,N/A,N/A,N/A,N/A,N/A,?,?
59,25,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200," 100",R0402,1,N/A,1/10W,"R116,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188",PANASONIC," ERJ-2RKF1000X",REL,N/A,N/A,N/A,N/A,7005699,?,?
60,1,E003457,RES SMD 360 Ohm 5% 1/10W 0402 AEC-Q200," 360",R0402,5,N/A,1/10W,R117,PANASONIC," ERJ-2GEJ361X",REL,A003-0021-021,N/A,N/A,N/A,7007378,?,?
61,1,E004010,RES SMD 1K Ohm 1% 1/20W 0201," 1K",R0201,1,N/A,1/20W,R118,PANASONIC," ERJ-1GNF1001C",REL,A003-0081-003,N/A,N/A,N/A,7006424,?,?
62,2,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200," 0",R0402,JUMPER,N/A,1/10W,"R49,R119",PANASONIC," ERJ-2GE0R00X",REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
63,3,E011129,RES SMD 30.1K Ohm 1% 1/10W 0603 AEC-Q200," 30.1K",R0603,1,N/A,1/10W,"R12,R20,R74",PANASONIC," ERJ-3EKF3012V",REL,N/A,N/A,N/A,N/A,7007190,?,?
64,4,E034678,RES SMD 3.01K Ohm 1% 1/10W 0603 AEC-Q200," 3.01K",R0603,1,N/A,1/10W,"R47,R54,R62,R136",PANASONIC," ERJ-3EKF3011V",REL,N/A,N/A,N/A,N/A,N/A,?,?
65,4,E030496,RES SMD 47K Ohm 1% 1/10W 0603 AEC-Q200," 47K",R0603,1,N/A,1/10W,"R51,R57,R58,R139",PANASONIC," ERJ-3EKF4702V",REL,N/A,N/A,N/A,N/A,N/A,?,?
66,1,E042473,RES SMD 6.2K OHM 1% 1/10W 0402 AEC-Q200," 6.2K",R0402,1,N/A,1/10W,R143,PANASONIC," ERJ-2RKF6201X",REL,N/A,N/A,N/A,N/A,N/A,?,?
67,1,E011126,RES SMD 18.2K Ohm 1% 1/10W 0603 AEC-Q200," 18.2K",R0603,1,N/A,1/10W,R149,PANASONIC," ERJ-3EKF1822V",REL,N/A,41816JH2040,N/A,N/A,7006344,?,?
68,1,E030251,RES SMD 267K Ohm 1% 1/10W 0603 AEC-Q200," 267K",R0603,1,N/A,1/10W,R151,VISHAY," CRCW0603267KFKEA",REL,N/A,N/A,N/A,N/A,N/A,?,?
69,1,E010279,RES SMD 100K Ohm 1% 1/10W 0603 AEC-Q200," 100K",R0603,1,50V,1/10W,R152,PANASONIC," ERJ-3EKF1003V",REL,A003-0032-128,41816DG576,N/A,N/A,N/A,?,?
70,1,E003682,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200," 1MEG",R0603,1,N/A,1/10W,R153,PANASONIC," ERJ-3EKF1004V",REL,A003-0032-017,41816DG307,FEC 911-598,N/A,N/A,?,?
71,3,E003678,RES SMD 1K Ohm 1% 1/10W 0603 AEC-Q200," 1K",R0603,1,N/A,1/10W,"R25,R161,R162",PANASONIC," ERJ-3EKF1001V",REL,A003-0032-013,41816DG207,FEC 911-239,N/A,7001194,?,?
73,2,E017927,RES SMD 20K Ohm 1% 1/10W 0603 AEC-Q200," 20K",R0603,1,N/A,1/10W,"R98,R192",PANASONIC," ERJ-3EKF2002V",REL,N/A,N/A,N/A,N/A,N/A,?,?
75,2,E010277,RES SMD 69.8K Ohm 1% 1/10W 0603 AEC-Q200," 69.8K",R0603,1,50V,1/10W,"R22,R55",PANASONIC," ERJ-3EKF6982V",REL,A003-0032-124,N/A,N/A,N/A,7000925,?,?
76,3,E014697,RES SMD 3.9K Ohm 1% 1/10W 0402 AEC-Q200," 3.9K",R0402,1,N/A,1/10W,"R3,R4,R63",PANASONIC," ERJ-2RKF3901X",REL,N/A,N/A,N/A,N/A,7007165,?,?
77,3,E004011,RES SMD 10K Ohm 1% 1/20W 0201," 10K",R0201,1,N/A,1/20W,"R35,R46,R87",PANASONIC," ERJ-1GNF1002C",REL,A003-0081-004,N/A,N/A,N/A,7005859,?,?
79,1,E003927,RES SMD 91 Ohm 1% 1/10W 0603," 91",R0603,1,N/A,1/10W,R41,YAGEO," RC0603FR-0791RL",REL,N/A,N/A,N/A,N/A,N/A,?,?
80,1,E007054,RES SMD 5.1K Ohm 1% 1/20W 0201," 5.1K",R0201,1,N/A,1/20W,R45,PANASONIC," ERJ-1GNF5101C",REL,N/A,N/A,N/A,1406_CAB3,7007835,?,?
82,3,E013702,RES SMD 31.6K Ohm 1% 1/10W 0603 AEC-Q200," 31.6K",R0603,1,N/A,1/10W,"R50,R53,R59",PANASONIC," ERJ-3EKF3162V",REL,N/A,N/A,N/A,N/A,N/A,?,?
83,1,E016458,RES SMD 2K Ohm 1% 1/10W 0603 AEC-Q200," 2K",R0603,1,N/A,1/10W,R60,PANASONIC," ERJ-3EKF2001V",REL,N/A,N/A,N/A,N/A,N/A,?,?
84,8,E007693,RES SMD 49.9 Ohm 1% 1/20W 0201," 49.9",R0201,1,N/A,1/20W,"R64,R67,R68,R70,R79,R81,R82,R84",PANASONIC," ERJ-1GNF49R9C",REL,N/A,N/A,N/A,N/A,N/A,?,?
85,1,E007248,RES SMD 200 Ohm 1% 1/10W 0603 AEC-Q200," 200",R0603,1,N/A,1/10W,R88,PANASONIC," ERJ-3EKF2000V",REL,A003-0032-131,N/A,N/A,N/A,N/A,?,?
